UserID,AgeRange,IncomeRange,SavingsLevel,DebtLevel,HasDependents,PrimaryGoal,SelfReportedTolerance,InvestmentKnowledge,LiquidityNeeds,TimeHorizonYears,RiskProfile
1030,18-24,₹25+ LPA,Low,Low,No,Retirement,Medium,Beginner,High,13,Moderate
1031,35-44,₹5-12 LPA,Medium,Low,Yes,Retirement,Medium,Intermediate,Low,18,Moderate
1032,25-34,₹12-25 LPA,Medium,Low,No,Marriage,Medium,Beginner,Medium,25,Moderate
1033,18-24,< ₹5 LPA,Medium,Low,No,Retirement,Medium,Intermediate,High,3,Conservative
1034,55+,< ₹5 LPA,Medium,Medium,No,ChildEdu,High,Beginner,Medium,25,Conservative
1035,55+,₹12-25 LPA,Low,High,No,Retirement,High,Beginner,Medium,18,Conservative
1036,45-54,₹12-25 LPA,Medium,Medium,Yes,Property,High,Advanced,High,25,Moderate
1037,25-34,₹12-25 LPA,Medium,Medium,No,Marriage,Low,Intermediate,Medium,13,Conservative
1038,18-24,< ₹5 LPA,High,Low,Yes,Business,High,Beginner,High,13,Moderate
1039,45-54,₹12-25 LPA,Medium,Medium,Yes,ChildEdu,High,Advanced,High,25,Moderate
1040,35-44,₹12-25 LPA,High,Low,Yes,Retirement,Medium,Beginner,Low,13,Moderate
1041,18-24,₹5-12 LPA,Medium,Low,No,Retirement,Medium,Beginner,High,18,Moderate
1042,35-44,₹12-25 LPA,Medium,Low,Yes,ChildEdu,Medium,Intermediate,Low,3,Conservative
1043,18-24,₹12-25 LPA,Low,Medium,Yes,Wealth,Medium,Intermediate,Medium,7,Moderate
1044,55+,₹5-12 LPA,Medium,High,Yes,Retirement,High,Beginner,High,18,Conservative
1045,25-34,< ₹5 LPA,Medium,Low,No,ChildEdu,Medium,Beginner,High,25,Moderate
1046,45-54,₹5-12 LPA,Medium,Low,No,Retirement,Medium,Advanced,High,18,Moderate
1047,25-34,< ₹5 LPA,Medium,Medium,Yes,Marriage,Medium,Beginner,High,7,Moderate
1048,35-44,₹5-12 LPA,Medium,Low,Yes,Marriage,Medium,Beginner,Medium,13,Moderate
1049,35-44,₹5-12 LPA,Medium,High,No,Marriage,High,Intermediate,Medium,13,Moderate
1050,25-34,< ₹5 LPA,Medium,Medium,No,Wealth,Medium,Advanced,Medium,13,Moderate
1051,55+,₹5-12 LPA,Low,High,No,Property,Medium,Beginner,Medium,25,Conservative
1052,45-54,< ₹5 LPA,High,Medium,Yes,Retirement,Low,Intermediate,Medium,25,Moderate
1053,55+,₹12-25 LPA,Low,Medium,No,ChildEdu,Medium,Intermediate,High,3,Conservative
1054,55+,₹25+ LPA,Low,Medium,Yes,Marriage,Medium,Beginner,Medium,25,Conservative
1055,35-44,< ₹5 LPA,Medium,Medium,Yes,Marriage,High,Intermediate,High,13,Moderate
1056,55+,₹25+ LPA,Medium,Medium,Yes,Property,Low,Advanced,High,25,Conservative
1057,18-24,₹5-12 LPA,Medium,Low,Yes,Marriage,Medium,Beginner,Low,7,Moderate
1058,25-34,< ₹5 LPA,Low,Medium,No,Marriage,Low,Beginner,Medium,18,Moderate
1059,18-24,< ₹5 LPA,Medium,Medium,Yes,Wealth,Medium,Advanced,Medium,7,Moderate
1060,25-34,₹5-12 LPA,Medium,High,Yes,Property,High,Intermediate,Medium,13,Aggressive
1061,25-34,₹12-25 LPA,High,Medium,Yes,Wealth,Medium,Beginner,High,3,Conservative
1062,25-34,₹12-25 LPA,High,Medium,Yes,Retirement,Medium,Intermediate,Medium,7,Moderate
1063,45-54,< ₹5 LPA,Medium,Low,Yes,Marriage,Medium,Intermediate,High,3,Conservative
1064,25-34,< ₹5 LPA,Medium,Medium,Yes,Wealth,Low,Intermediate,High,7,Conservative
1065,25-34,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,Medium,Advanced,Medium,7,Moderate
1066,35-44,< ₹5 LPA,Low,High,No,Wealth,Medium,Beginner,High,18,Conservative
1067,18-24,< ₹5 LPA,Medium,High,No,Business,Medium,Beginner,Low,3,Conservative
1068,45-54,< ₹5 LPA,Medium,Low,No,Retirement,High,Intermediate,Low,18,Moderate
1069,18-24,₹12-25 LPA,High,High,Yes,Property,Medium,Beginner,Low,7,Moderate
1070,55+,₹25+ LPA,Low,Low,No,Retirement,Medium,Intermediate,Medium,25,Conservative
1071,45-54,₹5-12 LPA,Medium,Low,No,Other,High,Beginner,Low,25,Aggressive
1072,25-34,₹25+ LPA,Medium,Medium,No,Wealth,High,Beginner,High,7,Moderate
1073,18-24,₹5-12 LPA,Medium,Low,No,Retirement,Medium,Beginner,Medium,18,Moderate
1074,45-54,₹5-12 LPA,Low,Medium,Yes,Retirement,Low,Intermediate,Medium,3,Conservative
1075,45-54,< ₹5 LPA,High,Low,No,Property,Medium,Intermediate,Low,25,Moderate
1076,45-54,₹5-12 LPA,Medium,Low,Yes,ChildEdu,Medium,Beginner,Medium,18,Moderate
1077,45-54,₹25+ LPA,Medium,Medium,Yes,Retirement,Low,Beginner,Medium,3,Conservative
1078,18-24,₹5-12 LPA,Low,Medium,Yes,Property,Low,Beginner,Medium,13,Conservative
1079,25-34,₹5-12 LPA,Medium,High,Yes,ChildEdu,Low,Intermediate,Medium,3,Conservative
1080,18-24,₹5-12 LPA,Medium,Medium,No,Retirement,Medium,Beginner,Medium,13,Moderate
1081,55+,< ₹5 LPA,Low,Medium,Yes,Wealth,Medium,Intermediate,Medium,18,Conservative
1082,35-44,₹12-25 LPA,Low,Low,Yes,Wealth,Medium,Intermediate,High,13,Moderate
1083,25-34,₹5-12 LPA,High,Low,No,Wealth,Low,Beginner,Low,13,Conservative
1084,18-24,₹5-12 LPA,Low,Low,Yes,Wealth,Medium,Intermediate,High,7,Moderate
1085,25-34,₹5-12 LPA,Low,Medium,Yes,Retirement,Medium,Beginner,Medium,7,Moderate
1086,25-34,₹5-12 LPA,Medium,Medium,No,ChildEdu,Low,Intermediate,Medium,7,Conservative
1087,45-54,< ₹5 LPA,Medium,Medium,No,Retirement,Medium,Beginner,Medium,25,Moderate
1088,35-44,₹5-12 LPA,Low,Medium,Yes,Wealth,Medium,Beginner,Medium,7,Moderate
1089,55+,< ₹5 LPA,Medium,Medium,No,Wealth,Medium,Intermediate,Low,18,Conservative
1090,35-44,₹12-25 LPA,Low,Low,Yes,Business,Medium,Beginner,High,13,Moderate
1091,18-24,₹12-25 LPA,Low,Low,Yes,Wealth,Low,Intermediate,Medium,7,Moderate
1092,45-54,₹12-25 LPA,Low,High,Yes,Marriage,Medium,Intermediate,High,18,Conservative
1093,45-54,₹5-12 LPA,High,Medium,Yes,ChildEdu,Low,Intermediate,Medium,13,Conservative
1094,35-44,₹5-12 LPA,Low,High,No,ChildEdu,Low,Beginner,Low,13,Conservative
1095,45-54,< ₹5 LPA,Low,Low,No,Retirement,Medium,Intermediate,Medium,18,Moderate
1096,35-44,₹12-25 LPA,Medium,High,Yes,Retirement,Medium,Intermediate,Low,13,Moderate
1097,35-44,< ₹5 LPA,High,Low,Yes,Marriage,Low,Beginner,High,13,Conservative
1098,35-44,₹5-12 LPA,Low,Low,No,ChildEdu,Low,Intermediate,High,18,Conservative
1099,18-24,< ₹5 LPA,Medium,High,Yes,Property,High,Advanced,High,18,Aggressive
1100,18-24,< ₹5 LPA,Low,Low,Yes,Property,Medium,Beginner,Medium,3,Conservative
1101,18-24,₹5-12 LPA,Medium,Medium,No,ChildEdu,Medium,Advanced,Medium,13,Moderate
1102,35-44,< ₹5 LPA,Medium,Low,No,Property,Medium,Beginner,High,3,Conservative
1103,25-34,₹12-25 LPA,Medium,Medium,No,Property,Low,Beginner,Low,7,Conservative
1104,35-44,₹5-12 LPA,Medium,High,Yes,ChildEdu,Medium,Beginner,High,18,Moderate
1105,55+,< ₹5 LPA,Medium,Low,No,Wealth,Low,Intermediate,Medium,25,Conservative
1106,25-34,₹5-12 LPA,Low,Medium,Yes,Property,Medium,Beginner,High,25,Moderate
1107,35-44,< ₹5 LPA,Medium,Low,Yes,Marriage,Low,Advanced,High,3,Conservative
1108,45-54,< ₹5 LPA,Low,Medium,Yes,Wealth,Medium,Advanced,High,13,Moderate
1109,25-34,₹12-25 LPA,Medium,Low,Yes,Wealth,Medium,Intermediate,Medium,18,Moderate
1110,18-24,< ₹5 LPA,High,Low,Yes,Wealth,Medium,Beginner,Low,7,Moderate
1111,25-34,₹12-25 LPA,High,Low,Yes,ChildEdu,Low,Advanced,Medium,25,Moderate
1112,25-34,< ₹5 LPA,High,Low,Yes,Retirement,Medium,Advanced,High,25,Moderate
1113,55+,< ₹5 LPA,Medium,High,No,ChildEdu,Medium,Beginner,High,25,Conservative
1114,45-54,₹12-25 LPA,Medium,Low,Yes,ChildEdu,Medium,Intermediate,Low,3,Conservative
1115,35-44,₹5-12 LPA,Low,Low,Yes,Wealth,Medium,Intermediate,Medium,7,Moderate
1116,55+,< ₹5 LPA,Medium,Medium,Yes,Marriage,Medium,Intermediate,Low,25,Conservative
1117,45-54,₹5-12 LPA,Medium,Low,Yes,Retirement,Medium,Beginner,High,18,Moderate
1118,25-34,< ₹5 LPA,Medium,Medium,No,Retirement,Medium,Beginner,Low,25,Moderate
1119,55+,₹12-25 LPA,Medium,High,Yes,Retirement,High,Beginner,Medium,3,Conservative
1120,35-44,₹5-12 LPA,Low,Medium,No,Marriage,Low,Beginner,Low,18,Moderate
1121,45-54,₹12-25 LPA,Medium,High,Yes,Business,Low,Intermediate,Medium,18,Conservative
1122,55+,₹12-25 LPA,High,Medium,Yes,Wealth,Medium,Advanced,High,3,Conservative
1123,25-34,₹5-12 LPA,Low,Low,No,Wealth,High,Advanced,Low,18,Moderate
1124,18-24,₹25+ LPA,Medium,Medium,No,Retirement,High,Intermediate,Low,18,Moderate
1125,25-34,₹5-12 LPA,High,Medium,Yes,ChildEdu,Medium,Intermediate,Low,7,Moderate
1126,35-44,₹25+ LPA,Medium,Medium,No,Retirement,Medium,Beginner,Medium,7,Moderate
1127,45-54,< ₹5 LPA,Medium,High,Yes,ChildEdu,Medium,Intermediate,Medium,18,Moderate
1128,55+,₹5-12 LPA,Low,Medium,No,Wealth,Medium,Beginner,Medium,13,Conservative
1129,18-24,₹5-12 LPA,Medium,High,No,Property,Medium,Beginner,Medium,25,Moderate
1130,35-44,₹5-12 LPA,High,Medium,No,Business,High,Intermediate,Low,13,Aggressive
1131,35-44,₹5-12 LPA,Medium,Medium,No,Property,Medium,Beginner,High,7,Moderate
1132,25-34,₹12-25 LPA,Medium,Medium,Yes,Retirement,Medium,Beginner,High,25,Moderate
1133,18-24,< ₹5 LPA,Low,Low,No,Retirement,Medium,Advanced,High,25,Moderate
1134,25-34,< ₹5 LPA,Low,High,Yes,Property,Medium,Beginner,High,3,Conservative
1135,55+,₹12-25 LPA,High,Medium,Yes,Business,Medium,Beginner,Medium,25,Conservative
1136,25-34,₹5-12 LPA,Medium,Low,Yes,Retirement,Medium,Beginner,Medium,7,Moderate
1137,35-44,₹25+ LPA,Medium,Low,Yes,Business,Low,Beginner,High,3,Conservative
1138,45-54,₹12-25 LPA,Low,Medium,No,Wealth,Low,Beginner,Low,7,Moderate
1139,25-34,₹25+ LPA,Medium,Low,Yes,ChildEdu,Medium,Intermediate,Medium,7,Moderate
1140,55+,₹12-25 LPA,High,Low,Yes,Business,High,Beginner,Low,25,Conservative
1141,55+,< ₹5 LPA,Medium,Medium,Yes,ChildEdu,Low,Advanced,Medium,25,Conservative
1142,25-34,< ₹5 LPA,Low,Low,Yes,Marriage,Medium,Beginner,Medium,25,Moderate
1143,35-44,₹12-25 LPA,Medium,Medium,No,Wealth,Medium,Beginner,Low,25,Moderate
1144,25-34,₹5-12 LPA,Medium,Low,Yes,Other,Low,Intermediate,Low,13,Moderate
1145,25-34,< ₹5 LPA,Medium,Low,No,ChildEdu,High,Intermediate,High,18,Aggressive
1146,18-24,₹5-12 LPA,High,Medium,No,ChildEdu,High,Intermediate,Low,25,Moderate
1147,35-44,₹25+ LPA,Medium,Medium,No,Retirement,Low,Advanced,High,25,Conservative
1148,35-44,₹5-12 LPA,High,Low,Yes,Retirement,Medium,Beginner,Low,25,Moderate
1149,18-24,₹5-12 LPA,Medium,Low,No,Marriage,Medium,Beginner,Medium,25,Moderate
1150,25-34,₹5-12 LPA,Low,Medium,Yes,Wealth,High,Advanced,Medium,7,Moderate
1151,55+,< ₹5 LPA,Medium,Low,No,ChildEdu,Medium,Beginner,Low,25,Conservative
1152,25-34,₹5-12 LPA,Low,Low,Yes,Retirement,Low,Beginner,Medium,25,Conservative
1153,18-24,₹5-12 LPA,High,Low,Yes,ChildEdu,Medium,Beginner,Medium,25,Moderate
1154,35-44,< ₹5 LPA,Medium,High,Yes,Property,High,Intermediate,High,7,Moderate
1155,55+,₹12-25 LPA,Medium,Medium,No,ChildEdu,Low,Beginner,High,18,Conservative
1156,25-34,₹5-12 LPA,Medium,Medium,Yes,Retirement,Medium,Beginner,Low,18,Moderate
1157,45-54,₹12-25 LPA,Low,Medium,Yes,Business,Low,Beginner,Low,7,Conservative
1158,45-54,₹12-25 LPA,Medium,Medium,Yes,Retirement,High,Intermediate,Medium,18,Moderate
1159,25-34,< ₹5 LPA,Medium,Medium,No,Property,Low,Beginner,Low,7,Conservative
1160,45-54,₹5-12 LPA,Low,Medium,No,Wealth,High,Beginner,Medium,13,Moderate
1161,25-34,₹5-12 LPA,Medium,Low,Yes,ChildEdu,Medium,Intermediate,High,13,Moderate
1162,35-44,₹12-25 LPA,Low,Medium,No,Marriage,Medium,Advanced,Medium,18,Moderate
1163,35-44,< ₹5 LPA,Medium,Medium,Yes,Marriage,High,Intermediate,High,13,Moderate
1164,35-44,₹5-12 LPA,Medium,Medium,Yes,Marriage,High,Intermediate,Medium,13,Moderate
1165,18-24,₹5-12 LPA,Low,Low,No,ChildEdu,Medium,Beginner,High,7,Moderate
1166,45-54,< ₹5 LPA,High,Low,Yes,ChildEdu,Low,Beginner,Low,7,Conservative
1167,25-34,< ₹5 LPA,Low,Medium,Yes,Wealth,Medium,Beginner,High,3,Conservative
1168,25-34,₹5-12 LPA,Low,Medium,Yes,Wealth,Medium,Advanced,High,7,Moderate
1169,18-24,₹12-25 LPA,Low,High,Yes,ChildEdu,Medium,Beginner,Low,18,Conservative
1170,35-44,₹5-12 LPA,Medium,Low,Yes,Retirement,Medium,Advanced,Medium,25,Moderate
1171,45-54,₹5-12 LPA,Medium,Medium,Yes,Retirement,Low,Advanced,High,7,Moderate
1172,18-24,₹5-12 LPA,Medium,Medium,Yes,Retirement,Medium,Beginner,High,7,Moderate
1173,35-44,₹12-25 LPA,Low,High,Yes,Property,Medium,Beginner,Low,25,Conservative
1174,25-34,< ₹5 LPA,Low,Medium,Yes,Retirement,Low,Beginner,Medium,13,Conservative
1175,35-44,₹12-25 LPA,Medium,Medium,Yes,ChildEdu,Medium,Beginner,Medium,25,Moderate
1176,25-34,< ₹5 LPA,High,Medium,Yes,Wealth,Medium,Beginner,Medium,25,Moderate
1177,45-54,₹5-12 LPA,High,Medium,No,ChildEdu,Medium,Advanced,Medium,13,Moderate
1178,25-34,< ₹5 LPA,Low,High,Yes,Wealth,Low,Beginner,Low,7,Conservative
1179,55+,< ₹5 LPA,Medium,Low,No,Business,Medium,Beginner,Medium,18,Conservative
1180,18-24,₹5-12 LPA,High,Low,No,Retirement,Low,Beginner,High,3,Conservative
1181,25-34,< ₹5 LPA,Medium,High,No,Business,Medium,Advanced,High,7,Moderate
1182,18-24,₹12-25 LPA,High,Medium,Yes,Business,Medium,Intermediate,Low,7,Moderate
1183,55+,< ₹5 LPA,Low,Medium,Yes,ChildEdu,Medium,Advanced,High,25,Conservative
1184,55+,₹5-12 LPA,High,Medium,Yes,Retirement,Low,Advanced,Low,18,Conservative
1185,25-34,₹5-12 LPA,Medium,Low,No,Property,Medium,Beginner,Medium,3,Conservative
1186,45-54,< ₹5 LPA,High,Medium,Yes,Wealth,High,Beginner,High,18,Aggressive
1187,45-54,< ₹5 LPA,Medium,Medium,No,Marriage,Low,Beginner,Medium,13,Conservative
1188,35-44,₹5-12 LPA,Medium,Low,No,Retirement,High,Beginner,Low,18,Moderate
1189,35-44,₹5-12 LPA,High,Low,Yes,Marriage,Medium,Intermediate,Low,7,Moderate
1190,25-34,₹5-12 LPA,Low,High,Yes,ChildEdu,Medium,Beginner,Medium,18,Conservative
1191,18-24,₹5-12 LPA,Medium,Low,No,Property,Low,Beginner,High,25,Conservative
1192,55+,₹5-12 LPA,Medium,High,Yes,Business,Low,Intermediate,High,3,Conservative
1193,55+,< ₹5 LPA,Medium,Low,Yes,Property,High,Intermediate,High,7,Conservative
1194,35-44,₹5-12 LPA,High,Medium,No,Wealth,Medium,Intermediate,High,7,Moderate
1195,25-34,₹25+ LPA,Low,High,Yes,Business,Low,Beginner,High,7,Conservative
1196,25-34,₹5-12 LPA,Medium,Medium,No,Marriage,Medium,Advanced,High,13,Moderate
1197,45-54,₹5-12 LPA,Medium,Medium,No,Retirement,Low,Intermediate,Low,25,Conservative
1198,55+,₹5-12 LPA,Low,Medium,No,Wealth,Medium,Beginner,High,25,Conservative
1199,55+,₹12-25 LPA,Medium,Low,Yes,Wealth,Medium,Intermediate,Medium,7,Conservative
1200,45-54,₹12-25 LPA,Low,Low,Yes,Retirement,High,Advanced,High,18,Moderate
1201,35-44,₹5-12 LPA,Medium,High,Yes,Property,Medium,Beginner,Low,18,Moderate
1202,18-24,₹25+ LPA,High,Medium,Yes,ChildEdu,Low,Beginner,High,18,Moderate
1203,25-34,< ₹5 LPA,Medium,Medium,Yes,Wealth,Medium,Beginner,High,13,Moderate
1204,55+,< ₹5 LPA,Medium,Low,Yes,Business,Medium,Beginner,High,7,Conservative
1205,35-44,₹12-25 LPA,High,Low,Yes,Retirement,Medium,Advanced,High,13,Moderate
1206,18-24,₹12-25 LPA,Medium,Low,Yes,Wealth,High,Beginner,Medium,13,Moderate
1207,18-24,< ₹5 LPA,High,Medium,No,Retirement,Medium,Intermediate,Medium,25,Moderate
1208,45-54,< ₹5 LPA,Medium,Medium,Yes,Wealth,Low,Intermediate,Medium,25,Conservative
1209,18-24,< ₹5 LPA,High,Medium,Yes,Property,High,Intermediate,Low,7,Moderate
1210,25-34,< ₹5 LPA,Low,High,No,ChildEdu,Low,Beginner,Low,3,Conservative
1211,35-44,₹12-25 LPA,High,Low,No,Retirement,Low,Beginner,Low,25,Conservative
1212,45-54,₹5-12 LPA,Low,Low,Yes,Retirement,Medium,Beginner,Medium,18,Moderate
1213,45-54,₹5-12 LPA,Medium,Low,Yes,Marriage,High,Beginner,High,25,Aggressive
1214,25-34,₹5-12 LPA,Medium,Medium,Yes,Property,Medium,Beginner,High,3,Conservative
1215,45-54,< ₹5 LPA,Medium,Low,No,Retirement,Low,Advanced,Low,18,Moderate
1216,25-34,< ₹5 LPA,Medium,High,No,Retirement,Medium,Beginner,Low,18,Moderate
1217,25-34,₹5-12 LPA,Medium,Low,No,Retirement,Medium,Intermediate,Low,25,Moderate
1218,45-54,₹25+ LPA,Medium,High,Yes,Business,Medium,Beginner,Low,3,Conservative
1219,35-44,₹12-25 LPA,Low,Medium,Yes,Business,Low,Intermediate,Low,7,Conservative
1220,45-54,< ₹5 LPA,Low,High,Yes,Retirement,Medium,Advanced,Medium,13,Conservative
1221,45-54,₹12-25 LPA,Low,Medium,No,Property,High,Beginner,Medium,25,Moderate
1222,35-44,₹12-25 LPA,Medium,High,No,Retirement,Medium,Advanced,Medium,25,Moderate
1223,18-24,₹12-25 LPA,Low,Low,No,Wealth,Low,Intermediate,Medium,25,Moderate
1224,25-34,₹5-12 LPA,Medium,Medium,Yes,Wealth,High,Advanced,Medium,25,Moderate
1225,25-34,₹5-12 LPA,Medium,High,Yes,Marriage,Medium,Intermediate,High,3,Conservative
1226,25-34,₹5-12 LPA,Low,Low,Yes,Wealth,High,Beginner,High,3,Conservative
1227,55+,< ₹5 LPA,Medium,Low,No,Wealth,Low,Beginner,Medium,7,Conservative
1228,25-34,< ₹5 LPA,High,Medium,No,Wealth,Low,Beginner,Low,13,Moderate
1229,55+,< ₹5 LPA,Low,High,Yes,Property,Medium,Intermediate,Low,25,Conservative
1230,35-44,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,Medium,Advanced,Low,25,Moderate
1231,45-54,₹12-25 LPA,Medium,Medium,Yes,Retirement,Medium,Intermediate,Medium,7,Moderate
1232,35-44,₹5-12 LPA,Medium,Low,Yes,ChildEdu,Medium,Beginner,Low,18,Moderate
1233,35-44,< ₹5 LPA,Medium,Low,No,Marriage,Low,Advanced,Medium,25,Conservative
1234,35-44,₹25+ LPA,Medium,High,Yes,Retirement,Medium,Intermediate,Low,13,Moderate
1235,25-34,₹25+ LPA,Medium,Low,No,ChildEdu,Medium,Beginner,High,7,Moderate
1236,45-54,₹12-25 LPA,Low,Medium,Yes,Property,Medium,Beginner,Low,13,Moderate
1237,25-34,₹25+ LPA,Medium,High,No,Retirement,Medium,Beginner,Medium,13,Moderate
1238,18-24,₹5-12 LPA,Medium,Low,Yes,Property,Medium,Advanced,Low,18,Moderate
1239,35-44,₹25+ LPA,Low,Medium,No,Wealth,Medium,Advanced,Low,13,Moderate
1240,25-34,< ₹5 LPA,Medium,Low,Yes,Business,Medium,Beginner,High,3,Conservative
1241,55+,₹5-12 LPA,High,Medium,Yes,Marriage,Medium,Beginner,Medium,25,Conservative
1242,55+,< ₹5 LPA,Medium,Low,Yes,Property,Low,Intermediate,Low,18,Conservative
1243,55+,< ₹5 LPA,Medium,Medium,Yes,Property,Medium,Advanced,Medium,13,Conservative
1244,25-34,< ₹5 LPA,High,Low,Yes,Retirement,High,Intermediate,Medium,25,Aggressive
1245,18-24,₹5-12 LPA,Medium,Medium,Yes,Wealth,Medium,Intermediate,Medium,7,Moderate
1246,55+,₹12-25 LPA,Medium,Medium,No,Retirement,Low,Beginner,Medium,7,Conservative
1247,35-44,₹5-12 LPA,Medium,Low,Yes,Retirement,High,Intermediate,High,25,Moderate
1248,55+,< ₹5 LPA,High,Medium,No,Wealth,Low,Beginner,Low,7,Conservative
1249,55+,₹12-25 LPA,Medium,Low,No,Retirement,Low,Advanced,Medium,25,Conservative
1250,55+,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,Medium,Beginner,Medium,7,Conservative
1251,25-34,₹5-12 LPA,Medium,Low,No,Retirement,Medium,Advanced,High,3,Conservative
1252,25-34,₹5-12 LPA,High,Medium,Yes,Retirement,Low,Beginner,High,18,Moderate
1253,55+,< ₹5 LPA,Medium,Low,Yes,Retirement,Medium,Advanced,High,7,Conservative
1254,25-34,₹5-12 LPA,Low,Medium,Yes,Retirement,Medium,Beginner,High,25,Moderate
1255,25-34,₹25+ LPA,High,Low,No,Marriage,Low,Beginner,High,18,Moderate
1256,35-44,< ₹5 LPA,Medium,Medium,Yes,Wealth,Medium,Intermediate,Medium,25,Moderate
1257,55+,₹5-12 LPA,Low,Low,Yes,ChildEdu,Medium,Beginner,High,25,Conservative
1258,45-54,₹12-25 LPA,Medium,High,Yes,Wealth,Medium,Advanced,High,7,Moderate
1259,35-44,₹12-25 LPA,Medium,High,No,Retirement,Low,Intermediate,Low,25,Conservative
1260,18-24,< ₹5 LPA,High,Low,Yes,ChildEdu,Low,Intermediate,Medium,18,Conservative
1261,35-44,< ₹5 LPA,Low,Medium,No,Retirement,Medium,Advanced,High,18,Moderate
1262,55+,< ₹5 LPA,High,Low,No,Marriage,High,Advanced,High,25,Conservative
1263,18-24,₹5-12 LPA,Medium,Low,No,ChildEdu,Medium,Intermediate,High,18,Moderate
1264,35-44,₹5-12 LPA,Low,Medium,No,Marriage,Medium,Advanced,High,13,Moderate
1265,55+,< ₹5 LPA,High,Medium,No,Wealth,Low,Beginner,High,18,Conservative
1266,45-54,₹25+ LPA,Medium,Medium,Yes,Property,Medium,Beginner,Medium,7,Moderate
1267,45-54,₹5-12 LPA,Low,Low,Yes,Marriage,Low,Intermediate,Low,7,Conservative
1268,45-54,< ₹5 LPA,Medium,Low,Yes,Wealth,Medium,Beginner,Low,18,Moderate
1269,25-34,₹5-12 LPA,High,Low,Yes,ChildEdu,Medium,Beginner,Medium,7,Moderate
1270,25-34,₹5-12 LPA,Medium,Medium,Yes,ChildEdu,High,Beginner,Medium,3,Conservative
1271,45-54,< ₹5 LPA,Low,Medium,Yes,Business,Medium,Beginner,Medium,3,Conservative
1272,45-54,< ₹5 LPA,Low,Medium,Yes,Marriage,High,Advanced,Medium,18,Aggressive
1273,55+,₹12-25 LPA,Low,Low,No,Retirement,Low,Intermediate,High,13,Conservative
1274,55+,₹5-12 LPA,Medium,Low,Yes,ChildEdu,Low,Advanced,Medium,25,Conservative
